id,source,source_date_accessed,source_id,short_title,author,year,genre,gender,translator,title,publication,format,catalogue_numbers,notes,further_editions
3001,GARSIDE1770-1799,20111110,1786:15:00,VATHEK,"[BECKFORD, William]",1786,goth,Male,Samuel HENLEY,"[VATHEK]. AN ARABIAN TALE, FROM AN UNPUBLISHED MANUSCRIPT: WITH NOTES CRITICAL AND EXPLANATORY.","London: Printed for J. Johnson, in St. Paul's Church-Yard, and entered at the Stationers' Hall, 1786.",,,,
3007,GARSIDE1770-1799,20111110,1796:63,THE MONK,"LEWIS, M[atthew] G[regory]",1796,goth,Male,,"THE MONK: A ROMANCE. IN THREE VOLUMES. BY M. G. LEWIS, ESQ. M.P.","London: Printed for J. Bell, Oxford-street, 1796.",,,,
3006,GARSIDE1770-1799,20111110,1799:42:00,ST. LEON,"GODWIN, William",1799,goth,Male,,ST. LEON: A TALE OF THE SIXTEENTH CENTURY. BY WILLIAM GODWIN. IN FOUR VOLUMES,"London: Printed for G. G. and J. Robinson, Paternoster-Row; R. Noble, Printer, Great Shire-Lane, 1799.",,,,
20,GARSIDE1800-1829,20100817,1800A020,"Zimao, the African",,1800,?,Male,,"ZIMAO, THE AFRICAN. TRANSLATED BY THE REV. WEEDEN BUTLER, M.A. OF SIDNEY SUSSEX COLLEGE, CAMBRIDGE","London:                     Printed for Vernor and Hood, in the Poultry; by S. Rousseau, Wood Street, Spa Fields, 1800","1 vol.  (xi, 105p). 8&deg;",BL 837.b.35(1); EN2 1800: 21; ESTC t075674; OCLC 6317807,"ESTC states this appears not to be a translation. Small engraving on t.p. Preface addressed to 'Courteous Reader' and signed W. B., Cheyn&egrave; Walk, Chelsea. Dedication 'to A Lady eminent for her private qualities and her public station', pp. [v]&ndash;x; six-line verse quotation from Darwin, p. xi. Text ends on p. 71 and the rest is an appendix concerning slavery",Dublin 1800 (ESTC); 2nd edn 1807 (NSTC)
27,GARSIDE1800-1829,20100817,1800A027,St Godwin,Edward DUBOIS,1800,?,Male,,"ST. GODWIN: A TALE OF THE SIXTEENTH, SEVENTEENTH, AND EIGHTEENTH CENTURY. BY COUNT REGINALD DE ST. LEON","London:                     Printed for J. Wright, Piccadilly, 1800","1 vol.  (xxiii, 235p). 12&deg;",BL 12613.d.8; EM 276: 4; EN2 1800: 28; ESTC t070070; OCLC 11776820,Dedication to Mrs Sheridan. Preface dated 26 Dec 1799. A satire of William Godwin's <i>St. Leon</i> (EN1 1799: 42),2nd edn (corrected) 1800 (OCLC); Dublin 1800 (ESTC)
28,GARSIDE1800-1829,20100817,1800A028,Obi,William EARLE (jun.),1800,?,Male,,"OBI; OR, THE HISTORY OF THREE-FINGERED JACK. IN A SERIES OF LETTERS FROM A RESIDENT IN JAMAICA TO HIS FRIEND IN ENGLAND","London:                     Printed for Earle and Hemet, No. 47, Albemarle-Street, Piccadilly, 1800","1 vol.  (vi, 232p). 12&deg;",ViU PR.3431.E171800; EN2 1800: 29; ESTC t176735; OCLC 18867095,Advertisement' signed 'W. E. J.',"Worcester, MA, 1804 (OCLC). Also numerous chapbook versions of this story (and songs from the pantomime version) with similar titles. For example, BL 1076.l.24(15), with the same lead title (Newcastle: printed by M. Angus & Son [1800?]), is 24pp"
42,GARSIDE1800-1829,20100817,1800A042,"Baron of Lauderbrooke, The",William HOLLOWAY,1800,?,Male,,THE BARON OF LAUDERBROOKE. A TALE BY W. HOLLOWAY,"London:                     Printed by T. Maiden, Sherbourne-Lane, for Ann Lemoine, White-Rose Court, Coleman-Street, and sold by T. Hurst, Paternoster-Row, 1800","1 vol.  (iv, 103p, ill.). 12&deg;",IU 823.H.728B; EN2 1800: 43; ESTC t192785; OCLC 45589263,"Frontispiece dated Aug 1800; engraved t.p. before printed t.p. Collates in sixes. BL 012611.de.1(1), with identical imprint, has 204pp. MH-H copy has 64 pp","1800 (ESTC), EM 175: 10; 1800 (ESTC)"
43,GARSIDE1800-1829,20100817,1800A043,Rimualdo,Samuel William Henry IRELAND,1800,?,Male,,"RIMUALDO: OR, THE CASTLE OF BADAJOS. A ROMANCE. BY W. H. IRELAND, AUTHOR OF ""THE ABBESS,"" &C. &C. IN FOUR VOLUMES","London:                     Printed by A. Strahan, Printers-Street, for T. N. Longman and O. Rees, Paternoster-Row, 1800",4 vols (I 190p; II 216p; III 239p; IV 283p). 12&deg;,Corvey; CME 3-628-47946-0; EN2 1800: 44; ESTC n048052; OCLC 6818425,,"French trans., 1823 [as <i>Les Brigands de l'Estramadure, ou l'orphelin de la forޯt</i> (Maurice L޸vy, 'Bibliographie Chronologique', in his <i>Le Roman &lsquo;gothique&rsquo; Anglais 1764&ndash;1824</i> (Toulouse, 1968))]"
49,GARSIDE1800-1829,20100817,1800A049,Forbidden Apartments,William LINLEY,1800,?,Male,,FORBIDDEN APARTMENTS. A TALE. IN TWO VOLUMES. BY WILLIAM LINLEY,"London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","2 vols (I x, 280p; II 328p). 12&deg;",MH-H *EC8.L6487.800f; EM 1007: 26; EN2 1800: 51; ESTC n002288; OCLC 27533678,"Preface argues the case for compactness in fiction, compared with stories by some female authors 'made to drag through six volumes' (p. vii)","French trans., 1801 [as <i>Le Jeune H޸ritier, ou les appartements d޸fendus</i> (CCFR)]"
50,GARSIDE1800-1829,20100817,1800A050,"Mistake, The",P. LITTLEJOHN,1800,?,Male,,"THE MISTAKE: OR, SOMETHING BEYOND A JOKE. IN THREE VOLUMES. BY P. LITTLEJOHN, AUTHOR OF HENRY AND THE CIPHER","London:                     Printed for the Author, by J. Bonsor, Salisbury Square. And sold by T. Hurst, Paternoster-Row, Kerbys', Bond Street, and Dutton, Birchin Lane, 1800","3 vols (I xi, 238p; II 240p; III 266p). 12&deg;",Corvey; CME 3-628-48033-7; EM 7474: 3; EN2 1800: 52; ESTC t110147; xOCLC,,"French trans., 1801"
