id,source_date_accessed,source_id,author,year,gender,genre,title,format,catalogue_numbers
13,20100817,1800A013,ANON,1800,Female,a,A SHORT STORY: INTERSPERSED WITH POETRY. BY A YOUNG LADY. IN TWO VOLUMES,"2 vols (I vii, 201p; II 204p). 12&deg;",Corvey; CME 3-628-48689-0; EM 170: 4; EN2 1800: 15; ESTC t066394; OCLC 48154945
15,20100817,1800A015,ANON,1800,Female,a,TALES OF TRUTH. BY A LADY. UNDER THE PATRONAGE OF THE DUCHESS OF YORK. IN FOUR VOLUMES,4 vols (I 153p; II 179p; III 170p; IV 168p). 8&deg;,Corvey; CME 3-628-48874-5; EM 1279: 10; EN2 1800: 17; ESTC n013589; xOCLC
17,20100817,1800A017,Louise Marguerite BRAYER DE SAINT-L&#201;ON,1800,Female,?,"THE MONK OF THE GROTTO, OR EUGENIO & VIRGINIA. A TALE. IN TWO VOLUMES. FROM THE FRENCH","2 vols (I xxx, 238p; II 249p). 12&deg;",Corvey; CME 3-628-48265-8; ECB 391; EN2 1800: 60; xESTC; OCLC 6972779
19,20100817,1800A019,Mrs BURKE,1800,Female,?,"ELLIOTT: OR, VICISSITUDES OF EARLY LIFE. IN TWO VOLUMES. BY A LADY","2 vols (I viii, 338p; II 295p). 12&deg;",Corvey; CME 3-628-47524-4; EN2 1800: 20; ESTC t210673; OCLC 13611552
21,20100817,1800A021,Mrs CARVER,1800,Female,?,THE OLD WOMAN. A NOVEL. IN TWO VOLUMES. BY THE AUTHOR OF THE HORRORS OF OAKENDALE ABBEY,2 vols (I 218p; II 255p). 12&deg;,Corvey; CME 3-628-48255-0; EN2 1800: 22; ESTC t223030; xOCLC
22,20100817,1800A022,Emily CLARK,1800,Female,?,"ERMINA MONTROSE; OR, THE COTTAGE OF THE VALE. IN THREE VOLUMES. WITH CHARACTERS FROM LIFE. BY EMILY CLARK, GRAND-DAUGHTER OF THE LATE COLONEL FREDERICK, AND AUTHOR OF ""IANTHE; OR, THE FLOWER OF CAERNARVON.""","3 vols (I viii, 239p; II 272p; III 244p). 12&deg;",Corvey; CME 3-628-47290-3; EM 131: 5; EN2 1800: 23; ESTC t070069; xOCLC
23,20100817,1800A023,Sarah COBBE,1800,Female,?,"JULIA ST. HELEN; OR, THE HEIRESS OF ELLISBOROUGH. A NOVEL. IN TWO VOLUMES. PUBLISHED BY SARAH COBBE, RELICT OF THE REV. RICHARD CHALONER COBBE, RECTOR OF BRADENHAM IN BUCKINGHAMSHIRE, AND CHAPLAIN TO THE RIGHT HONOURABLE THE EARL OF MOIRA","2 vols (I xvii, 228p; II 240p). 12&deg;",BL 12654.f.10; EN2 1800: 24; ESTC t107266; xOCLC
24,20100817,1800A024,Helen CRAIK,1800,Female,?|potgoth,"ADELAIDE DE NARBONNE, WITH MEMOIRS OF CHARLOTTE DE CORDET. A TALE. IN FOUR VOLUMES. BY THE AUTHOR OF HENRY OF NORTHUMBERLAND",4 vols (I 286p; II 267p; III 283p; IV 304p). 12&deg;,BL 12612.dd.2; EM 273: 1; EN2 1800: 25; ESTC t066881; OCLC 44524455
25,20100817,1800A025,Helen CRAIK,1800,Female,?|potgoth,"HENRY OF NORTHUMBERLAND, OR THE HERMIT'S CELL. A TALE OF THE FIFTEENTH CENTURY. IN THREE VOLUMES","3 vols (I xii, 233p, ill.; II 247p; III 249p). 12&deg;",Corvey; CME 3-628-47777-8; EN2 1800: 26; ESTC t200843; OCLC 31498366
26,20100817,1800A026,Mrs CROFFTS,1800,Female,?,ANKERWICK CASTLE. A NOVEL. IN FOUR VOLUMES. BY MRS. CROFFTS,4 vols (I 286p; II 251p; III 259p; IV 249p). 12&deg;,Corvey; CME 3-628-47352-7; EN2 1800: 27; ESTC n042635; OCLC 42783029
