810,2043,GARSIDE1800-1829,20100817,1827A017,Walter the Murderer,C. A. BOLEN,1827,goth,Male,,"WALTER THE MURDERER; OR, THE MYSTERIES OF EL DORADO. AN HISTORICAL ROMANCE. IN THREE VOLUMES. BY C. A. BOLEN, AUTHOR OF THE MYSTERIOUS MONK, &C","London:                     Printed for A. K. Newman and Co., 1827",3 vols (I 233p; II 243p; III 236p). 12&deg;,Corvey; CME 3-628-47266-0; ECB 64; EN2 1827: 17; NSTC 2B39616; xOCLC,,,BOLEN
673,1774,GARSIDE1800-1829,20100817,1824A015,Revelations of the Dead-Alive,John BANIM,1824,goth,Male,,REVELATIONS OF THE DEAD-ALIVE,"London:                     Printed for W. Simpkin and R. Marshall, Stationers'-Hall Court, Ludgate Street, 1824",1 vol.  (376p). 12&deg;,BL N.242; ECB 490; EN2 1824: 15; NSTC 2B6674; OCLC 20638720,"Fold-out 'Prophetical Chart' between pp. 96 and 97, 'to face Page xix'; but this is probably misbound in BL copy and relates to another text",1845 as <i>London and its Eccentricities in the year 2023</i> (NSTC),BANIM
520,1455,GARSIDE1800-1829,20100817,1820A010,Baldwin,Richard Harris BARHAM,1820,goth,Male,,"BALDWIN; OR, A MISER'S HEIR. A SERIO-COMIC TALE. IN TWO VOLUMES. BY AN OLD BACHELOR","London:                     Printed at the Minerva Press for A. K. Newman and Co. Leadenhall-Street, 1820","2 vols (I vi, 245p; II 270p). 12&deg;",Corvey; CME 3-628-47091-9; ECB 36; EN2 1820: 13; NSTC 2B7767; xOCLC,"Dedication 'To Anybody', signed 'G. H. E.'. NSTC gives the author's pseudonym as George Hector Epaminondas. Copy at Harvard (*EC8.B2395.8206) includes author's MS revisions, evidently in preparation for a 2nd edn",,BARHAM
0,3001,GARSIDE1770-1799,20111110,1786:15:00,VATHEK,"[BECKFORD, William]",1786,goth,Male,Samuel HENLEY,"[VATHEK]. AN ARABIAN TALE, FROM AN UNPUBLISHED MANUSCRIPT: WITH NOTES CRITICAL AND EXPLANATORY.","London: Printed for J. Johnson, in St. Paul's Church-Yard, and entered at the Stationers' Hall, 1786.",,,,,"BECKFORD, William]"
26,18,GARSIDE1800-1829,20100817,1800A018,Ormond; or the Secret Witness,Charles Brockden BROWN,1800,goth,Male,,"ORMOND; OR THE SECRET WITNESS. BY THE AUTHOR OF WIELAND, ARTHUR MERVYN, &C. &C","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","1 vol.  (iv, 338p). 12&deg;",Corvey; CME 3-628-47138-9; EN2 1800: 19; ESTC t131855; OCLC 8230783,Dedication to I. E. Rosenberg. Collates in sixes.  Originally published New York 1799 (Blanck),"1811 (NSTC); 1822 (OCLC); 1839 (NSTC); German trans., 1802 (ascribed to William Godwin)",BROWN
99,235,GARSIDE1800-1829,20100817,1803A018,Arthur Mervyn,Charles Brockden BROWN,1803,goth,Male,,"ARTHUR MERVYN. A TALE. IN THREE VOLUMES. BY C. B. BROWN, AUTHOR OF EDGAR HUNTLY, WIELAND, ORMOND, &C","London:                     Printed at the Minerva-Press, for Lane and Newman, Leadenhall-Street, 1803","3 vols (I iv, 318p; II 299p; III 311p). 12&deg;",Corvey; CME 3-628-47134-6; ECB 78; EN2 1803: 18; xNSTC; OCLC 6662256,"Preface' signed 'C. B. B.'.  Originally published Philadelphia 1799, followed by 'Second Part' New York 1800 (Blanck)",1821 (OCLC),BROWN
100,236,GARSIDE1800-1829,20100817,1803A019,Edgar Huntly,Charles Brockden BROWN,1803,goth,Male,,"EDGAR HUNTLY, OR MEMOIRS OF A SLEEP-WALKER. A NOVEL. IN THREE VOLUMES. BY C. B. BROWN, AUTHOR OF ARTHUR MERVYN, WIELAND, ORMOND, &C","London:                     Printed at the Minerva-Press, for Lane and Newman, Leadenhall-Street, 1803",3 vols (I 259p; II 255p; III 288p). 12&deg;,Corvey; CME 3-628-47136-2; ECB 78; EN2 1803: 19; xNSTC; OCLC 3403453,Originally published Philadelphia 1799 (Blanck),1831 (NSTC 2B51809); 1842 (NSTC); 1847 (OCLC); 1850 (OCLC),BROWN
140,310,GARSIDE1800-1829,20100817,1804A014,Jane Talbot,Charles Brockden BROWN,1804,goth,Male,,"JANE TALBOT. A NOVEL. IN TWO VOLUMES. BY C. B. BROWNE [sic], AUTHOR OF ARTHUR MERVYN, EDGAR HUNTLEY, &C","London:                     Printed at the Minerva-Press, for Lane, Newman, and Co. Leadenhall-Street, 1804",2 vols (I 263p; II 336p). 12&deg;,Corvey; CME 3-628-47137-0; ECB 78; EN2 1804: 14; xNSTC; OCLC 6662288,Originally published Philadelphia 1801 (Blanck),,BROWN
223,530,GARSIDE1800-1829,20100817,1807A011,Philip Stanley,Charles Brockden BROWN,1807,goth,Male,,"PHILIP STANLEY; OR, THE ENTHUSIASM OF LOVE. A NOVEL. IN TWO VOLUMES. BY C. B. BROWN, AUTHOR OF ARTHUR MERVYN, EDGAR HUNTLY, JANE TALBOT, &C","London:                     Printed at the Minerva-Press, for Lane, Newman, and Co. Leadenhall-Street, 1807","2 vols (I viii, 221p; II 200p). 12&deg;",Corvey; CME 3-628-47139-7; ECB 78; EN2 1807: 10; NSTC B4731; OCLC 6662379,"A re-titled version of Brown's <i>Clara Howard</i> (Philadelphia, 1801)",,BROWN
351,894,GARSIDE1800-1829,20100817,1811A025,Wieland,Charles Brockden BROWN,1811,goth,Male,,"WIELAND, OR THE TRANSFORMATION, AN AMERICAN TALE. BY B. C. [sic] BROWN, AUTHOR OF ORMOND, OR THE SECRET WITNESS, &C. &C. IN THREE VOLUMES","London:                     Re-printed for H. Colburn, English and Foreign Public Library, Conduit-Street, New Bond-Street, 1811","3 vols (I viii, 218p; II 200p; III 175p). 12&deg;",BL 12703.f.5; ECB 78; EN2 1811: 24; NSTC B4734; OCLC 6662432,"Full imprint actually reads: 'New York printed, London: Re-printed for H. Colburn, English and Foreign Public Library, Conduit-Street, New Bond-Street, 1811.'  Dedication to Richard Brinsley Sheridan, signed Henry Colburn; 'Advertisement' signed 'B. C. B.' and dated Sep 1798. ECB gives title as 'Wieland; or, the Transformation: a romance'. Originally published New York 1798 (Blanck, ESTC)","New edn 1822, as <i>Wieland, an American tale</i> (OCLC); French trans., 1841 [as <i>Wieland, ou la voix myst«∂∏rieuse &hellip; (traduction faite sur la derni&egrave;re «∂∏dition de Londres)</i> (CCFR)]",BROWN
