id,source,source_id,author,year,gender,genre,title,format,catalogue_numbers
29,20100817,1800A029,Maria EDGEWORTH,1800,Female,goth,"CASTLE RACKRENT, AN HIBERNIAN TALE. TAKEN FROM FACTS, AND FROM THE MANNERS OF THE IRISH SQUIRES, BEFORE THE YEAR 1782","1 vol.  (xliv, 182p). 8&deg;",BL 12611.f.4; ECB 178 (3rd edn); EM 58: 1; EN2 1800: 30; ESTC t057317; OCLC 17804611
108,20100817,1801A026,Maria EDGEWORTH,1801,Female,goth,BELINDA. BY MARIA EDGEWORTH. IN THREE VOLUMES,"3 vols (I 8, 370p; II 387p; III 359p). 12&deg;",BL 012611.e.31; ECB 178; EN2 1801: 24; NSTC E229; OCLC 4839110
109,20100817,1801A027,Maria EDGEWORTH,1801,Female,goth,"MORAL TALES FOR YOUNG PEOPLE. BY MARIA EDGEWORTH, AUTHOR OF PRACTICAL EDUCATION, &C","5 vols (I xi, 238p, ill.; II, 197p, ill.; III 192p, ill.; IV 190p; V 190p). 12&deg;",BL Ch.800/132; ECB 178; EN2 1801: 25; NSTC E239; OCLC 8856802
121,20100817,1801A039,Isabella KELLY,1801,Female,goth,"RUTHINGLENNE, OR THE CRITICAL MOMENT. A NOVEL. IN THREE VOLUMES. DEDICATED, BY PERMISSION, TO LADY DALLING. BY ISABELLA KELLY, AUTHOR OF MADELINE, ABBEY OF ST. ASAPH, AVONDALE PRIORY, EVA, &C. &C","3 vols (I xii, 298p; II 284p; III 260p). 12&deg;",Corvey; CME 3-628-47929-0; ECB 317; EN2 1801: 37; NSTC K138; OCLC 6800194
188,20100817,1802A032,Isabella KELLY,1802,Female,goth,"THE BARON'S DAUGHTER: A GOTHIC ROMANCE. BY ISABELLA KELLY, AUTHOR OF MADELINE, ABBEY ST. ASAPH, AVONDALE PRIORY, EVA, RUTHINGLENNE, ETC. IN FOUR VOLUMES","4 vols (I iv, 244p; II 212p; III 176p; IV 182p). 12&deg;",BL 12611.bb.13; ECB 317; EN2 1802: 33; NSTC K134; xOCLC
313,20100817,1804A017,Maria EDGEWORTH,1804,Female,goth,"POPULAR TALES. BY MARIA EDGEWORTH, AUTHOR OF PRACTICAL EDUCATION, BELINDA, CASTLE RACKRENT, IRISH BULLS, &C. &C","3 vols (I iv, 384p; II 367p; III 394p). 12&deg;",Corvey; CME 3-628-47576-7; ECB 178; EN2 1804: 17; NSTC E242; OCLC 11287183
400,20100817,1805A029,Maria EDGEWORTH,1805,Female,goth,"THE MODERN GRISELDA. A TALE. BY MISS EDGEWORTH, AUTHOR OF PRACTICAL EDUCATION, BELINDA, CASTLE RACKRENT, HISTORY OF IRISH BULLS, LETTERS FOR LITERARY LADIES, POPULAR TALES, &C",1 vol.  (170p). 8&deg;,BL 1078.e.34; ECB 178; EN2 1805: 20; NSTC E238; OCLC 621313
470,20100817,1806A023,Charlotte DACRE,1806,Female,goth,"ZOFLOYA; OR, THE MOOR: A ROMANCE OF THE FIFTEENTH CENTURY. IN THREE VOLUMES. BY CHARLOTTE DACRE, BETTER KNOWN AS ROSA MATILDA, AUTHOR OF THE NUN OF ST. OMERS, HOURS OF SOLITUDE, &C",3 vols (I 283p; II 283p; III 236p). 12&deg;,Corvey; CME 3-628-47388-8; ECB 149; EN2 1806: 25; NSTC B6026; OCLC 6720614
473,20100817,1806A026,Maria EDGEWORTH,1806,Female,goth,LEONORA. BY MISS EDGEWORTH. IN TWO VOLUMES,2 vols (I 291p; II 291p). 8&deg;,Corvey; CME 3-628-47571-6; ECB 178; EN2 1806: 29; NSTC E235; OCLC 4321274
678,20100817,1808A090,Eliza RATCLIFFE,1808,Female,goth,"THE MYSTERIOUS BARON, OR THE CASTLE IN THE FOREST, A GOTHIC STORY. BY ELIZA RATCLIFFE",1 vol.  (184p). 12&deg;,Corvey; CME 3-628-48453-7; ECB 480; EN2 1808: 91; xNSTC; OCLC 47936819
720,20100817,1809A021,Maria EDGEWORTH,1809,Female,goth,"TALES OF FASHIONABLE LIFE, BY MISS EDGEWORTH, AUTHOR OF PRACTICAL EDUCATION, BELINDA, CASTLE RACKRENT, ESSAY ON IRISH BULLS, &C. IN THREE VOLUMES","6 vols (I (1809) vii, 400p; II (1809) 338p; III (1809) 369p; IV (1812) iv, 460p; V (1812) 392p; VI (1812) 466p). 12&deg;",BRu ENC; ECB 178; EN2 1809: 22; NSTC E246; OCLC 4890060
1009,20100817,1812A060,Augusta Amelia STUART,1812,Female,goth,"CAVA OF TOLEDO; OR, THE GOTHIC PRINCESS. A ROMANCE. IN FIVE VOLUMES. BY AUGUSTA AMELIA STUART, AUTHOR OF LUDOVICO'S TALE; THE ENGLISH BROTHERS; EXILE OF PORTUGAL, &C. &C","5 vols (I ii, 259p; II 240p; III 252p; IV 224p; V 286p). 12&deg;",Corvey; CME 3-628-48683-1; ECB 567; EN2 1812: 59; xNSTC; xOCLC
1077,20100817,1813A061,Sarah Elizabeth UTTERSON,1813,Female,goth,TALES OF THE DEAD. PRINCIPALLY TRANSLATED FROM THE FRENCH,"1 vol.  (viii, 248p). 8&deg;",BL 12527.d.8; ECB 576; EN2 1813: 60; NSTC U261; OCLC 7089659
1100,20100817,1814A020,Maria EDGEWORTH,1814,Female,goth,"PATRONAGE. BY MARIA EDGEWORTH, AUTHOR OF ""TALES OF FASHIONABLE LIFE,"" ""BELINDA,"" ""LEONORA,"" &C. IN FOUR VOLUMES",4 vols (I 418p; II 431p; III 402p; IV 389p). 12&deg;,BRu ENC; ECB 178; EN2 1814: 20; NSTC E241; OCLC 8398905
1279,20100817,1817A024,Maria EDGEWORTH,1817,Female,goth,"HARRINGTON, A TALE; AND ORMOND, A TALE. IN THREE VOLUMES. BY MARIA EDGEWORTH, AUTHOR OF COMIC DRAMAS, TALES OF FASHIONABLE LIFE, &C. &C","3 vols (I iv, 521p; II 422p; III 352p). 12&deg;",BRu ENC; ECB 178; EN2 1817: 24; NSTC 2E2217; OCLC 621791
1291,20100817,1817A036,Anne KER,1817,Female,goth,"EDRIC, THE FORESTER: OR, THE MYSTERIES OF THE HAUNTED CHAMBER. AN HISTORICAL ROMANCE, IN THREE VOLUMES. BY MRS. ANNE KER, OF HIS GRACE THE DUKE OF ROXBURGH'S FAMILY, AUTHOR OF THE HEIRESS DI MONTALDE&#8212;ADELINE ST. JULIAN&#8212;EMMELINE, OR THE HAPPY DISCOVERY&#8212;MYSTERIOUS COUNT&#8212;AND MODERN FAULTS",3 vols (I 214p; II 216p; III 216p). 12&deg;,Corvey; CME 3-628-47995-9; EN2 1817: 36; xNSTC; xOCLC
1367,20100817,1818A057,Mary Wollstonecraft SHELLEY,1818,Female,goth,"FRANKENSTEIN; OR, THE MODERN PROMETHEUS. IN THREE VOLUMES","3 vols (I xii, 181p; II 156p; III 192p). 12&deg;",Corvey; CME 3-628-47833-2; ECB 216; EN2 1818: 57; NSTC 2S18445; OCLC 2748084
1790,20100817,1824A031,"Claire Louise Rose Bonne, Duchesse de DURAS",1824,Female,goth,"OURIKA, A TALE. BY THE DUCHESS OF DURAS",1 vol.  (136p). 12&deg;,C Rom.1.44<sup>2</sup>; ECB 175; EN2 1824: 31; NSTC 23441; OCLC 14206615
1845,20100817,1824A086,Catharine Maria SEDGWICK,1824,Female,goth,"REDWOOD; A TALE. BY THE AUTHOR OF ""A NEW ENGLAND TALE."" IN THREE VOLUMES","3 vols (I xv, 295p; II 282p; III 297p). 12&deg;",Corvey; CME 3-628-48520-7; ECB 482; EN2 1824: 87; NSTC 2S12240; OCLC 11990954
