id,source_date_accessed,,source_id,short_title,author,year,genre,gender,translator,title,place,fromat,catalogue,notes
2043,GARSIDE1800-1829,20100817,1827A017,Walter the Murderer,C. A. BOLEN,1827,goth,Male,,"WALTER THE MURDERER; OR, THE MYSTERIES OF EL DORADO. AN HISTORICAL ROMANCE. IN THREE VOLUMES. BY C. A. BOLEN, AUTHOR OF THE MYSTERIOUS MONK, &C","London:                     Printed for A. K. Newman and Co., 1827",3 vols (I 233p; II 243p; III 236p). 12&deg;,Corvey; CME 3-628-47266-0; ECB 64; EN2 1827: 17; NSTC 2B39616; xOCLC,"Fold-out 'Prophetical Chart' between pp. 96 and 97, 'to face Page xix'; but this is probably misbound in BL copy and relates to another text"
1774,GARSIDE1800-1829,20100817,1824A015,Revelations of the Dead-Alive,John BANIM,1824,goth,Male,,REVELATIONS OF THE DEAD-ALIVE,"London:                     Printed for W. Simpkin and R. Marshall, Stationers'-Hall Court, Ludgate Street, 1824",1 vol.  (376p). 12&deg;,BL N.242; ECB 490; EN2 1824: 15; NSTC 2B6674; OCLC 20638720,"Dedication 'To Anybody', signed 'G. H. E.'. NSTC gives the author's pseudonym as George Hector Epaminondas. Copy at Harvard (*EC8.B2395.8206) includes author's MS revisions, evidently in preparation for a 2nd edn"
1455,GARSIDE1800-1829,20100817,1820A010,Baldwin,Richard Harris BARHAM,1820,goth,Male,,"BALDWIN; OR, A MISER'S HEIR. A SERIO-COMIC TALE. IN TWO VOLUMES. BY AN OLD BACHELOR","London:                     Printed at the Minerva Press for A. K. Newman and Co. Leadenhall-Street, 1820","2 vols (I vi, 245p; II 270p). 12&deg;",Corvey; CME 3-628-47091-9; ECB 36; EN2 1820: 13; NSTC 2B7767; xOCLC,
3001,GARSIDE1770-1799,20111110,1786:15:00,VATHEK,"[BECKFORD, William]",1786,goth,Male,Samuel HENLEY,"[VATHEK]. AN ARABIAN TALE, FROM AN UNPUBLISHED MANUSCRIPT: WITH NOTES CRITICAL AND EXPLANATORY.","London: Printed for J. Johnson, in St. Paul's Church-Yard, and entered at the Stationers' Hall, 1786.",,,Dedication to I. E. Rosenberg. Collates in sixes.  Originally published New York 1799 (Blanck)
18,GARSIDE1800-1829,20100817,1800A018,Ormond; or the Secret Witness,Charles Brockden BROWN,1800,goth,Male,,"ORMOND; OR THE SECRET WITNESS. BY THE AUTHOR OF WIELAND, ARTHUR MERVYN, &C. &C","London:                     Printed at the Minerva-Press, for William Lane, Leadenhall-Street, 1800","1 vol.  (iv, 338p). 12&deg;",Corvey; CME 3-628-47138-9; EN2 1800: 19; ESTC t131855; OCLC 8230783,"Preface' signed 'C. B. B.'.  Originally published Philadelphia 1799, followed by 'Second Part' New York 1800 (Blanck)"
235,GARSIDE1800-1829,20100817,1803A018,Arthur Mervyn,Charles Brockden BROWN,1803,goth,Male,,"ARTHUR MERVYN. A TALE. IN THREE VOLUMES. BY C. B. BROWN, AUTHOR OF EDGAR HUNTLY, WIELAND, ORMOND, &C","London:                     Printed at the Minerva-Press, for Lane and Newman, Leadenhall-Street, 1803","3 vols (I iv, 318p; II 299p; III 311p). 12&deg;",Corvey; CME 3-628-47134-6; ECB 78; EN2 1803: 18; xNSTC; OCLC 6662256,Originally published Philadelphia 1799 (Blanck)
236,GARSIDE1800-1829,20100817,1803A019,Edgar Huntly,Charles Brockden BROWN,1803,goth,Male,,"EDGAR HUNTLY, OR MEMOIRS OF A SLEEP-WALKER. A NOVEL. IN THREE VOLUMES. BY C. B. BROWN, AUTHOR OF ARTHUR MERVYN, WIELAND, ORMOND, &C","London:                     Printed at the Minerva-Press, for Lane and Newman, Leadenhall-Street, 1803",3 vols (I 259p; II 255p; III 288p). 12&deg;,Corvey; CME 3-628-47136-2; ECB 78; EN2 1803: 19; xNSTC; OCLC 3403453,Originally published Philadelphia 1801 (Blanck)
310,GARSIDE1800-1829,20100817,1804A014,Jane Talbot,Charles Brockden BROWN,1804,goth,Male,,"JANE TALBOT. A NOVEL. IN TWO VOLUMES. BY C. B. BROWNE [sic], AUTHOR OF ARTHUR MERVYN, EDGAR HUNTLEY, &C","London:                     Printed at the Minerva-Press, for Lane, Newman, and Co. Leadenhall-Street, 1804",2 vols (I 263p; II 336p). 12&deg;,Corvey; CME 3-628-47137-0; ECB 78; EN2 1804: 14; xNSTC; OCLC 6662288,"A re-titled version of Brown's <i>Clara Howard</i> (Philadelphia, 1801)"
530,GARSIDE1800-1829,20100817,1807A011,Philip Stanley,Charles Brockden BROWN,1807,goth,Male,,"PHILIP STANLEY; OR, THE ENTHUSIASM OF LOVE. A NOVEL. IN TWO VOLUMES. BY C. B. BROWN, AUTHOR OF ARTHUR MERVYN, EDGAR HUNTLY, JANE TALBOT, &C","London:                     Printed at the Minerva-Press, for Lane, Newman, and Co. Leadenhall-Street, 1807","2 vols (I viii, 221p; II 200p). 12&deg;",Corvey; CME 3-628-47139-7; ECB 78; EN2 1807: 10; NSTC B4731; OCLC 6662379,"Full imprint actually reads: 'New York printed, London: Re-printed for H. Colburn, English and Foreign Public Library, Conduit-Street, New Bond-Street, 1811.'  Dedication to Richard Brinsley Sheridan, signed Henry Colburn; 'Advertisement' signed 'B. C. B.' and dated Sep 1798. ECB gives title as 'Wieland; or, the Transformation: a romance'. Originally published New York 1798 (Blanck, ESTC)"
894,GARSIDE1800-1829,20100817,1811A025,Wieland,Charles Brockden BROWN,1811,goth,Male,,"WIELAND, OR THE TRANSFORMATION, AN AMERICAN TALE. BY B. C. [sic] BROWN, AUTHOR OF ORMOND, OR THE SECRET WITNESS, &C. &C. IN THREE VOLUMES","London:                     Re-printed for H. Colburn, English and Foreign Public Library, Conduit-Street, New Bond-Street, 1811","3 vols (I viii, 218p; II 200p; III 175p). 12&deg;",BL 12703.f.5; ECB 78; EN2 1811: 24; NSTC B4734; OCLC 6662432,"Editor's Preface mentions 'The incomplete state, in which some of the following posthumous pieces have been left &hellip;'. For the original composition of 'Carwin' in 1798 and its American publication in instalments 1803&ndash;05, see S. W. Reid, 'Brockden Brown in England: Notes on Henry Colburn's 1822 Editions of his Novels', <i>Early American Literature</i> 9 (1974), 188&ndash;95"
1610,GARSIDE1800-1829,20100817,1822A020,"Carwin, the Biloquist",Charles Brockden BROWN,1822,goth,Male,,"CARWIN, THE BILOQUIST, AND OTHER AMERICAN TALES AND PIECES. BY CHARLES BROCKDEN BROWN, AUTHOR OF WIELAND, ORMOND, ARTHUR MERVYN, &C. &C. IN THREE VOLUMES","London:                     Printed for Henry Colburn and Co. Public Library, Conduit Street, 1822","3 vols (I iv, 256p; II 287p; III 259p). 12&deg;",Corvey; CME 3-628-47135-4; ECB 78; EN2 1822: 21; NSTC 2B51807; OCLC 8215135,"Preface dated London, 7 Mar 1827"
2044,GARSIDE1800-1829,20100817,1827A018,Falkland,Edward George BULWER LYTTON,1827,goth,Male,,FALKLAND,"London:                     Henry Colburn, New Burlington Street, 1827","1 vol.  (ix, 264p). 12&deg;",Corvey; CME 3-628-47168-0; ECB 198; EN2 1827: 18; NSTC 2B57409; OCLC 3940707,
2128,GARSIDE1800-1829,20100817,1828A022,Pelham,Edward George BULWER LYTTON,1828,goth,Male,,"PELHAM; OR, THE ADVENTURES OF A GENTLEMAN. IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1828",3 vols (I 339p; II 316p; III 366p). 12&deg;,Corvey; CME 3-628-47171-0; ECB 440; EN2 1828: 24; NSTC 2B57442; OCLC 7804717,
2211,GARSIDE1800-1829,20100817,1829A022,Devereux,Edward George BULWER LYTTON,1829,goth,Male,,"DEVEREUX. A TALE. BY THE AUTHOR OF ""PELHAM."" IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1829","3 vols (I vii, 299p; II 310p; III 344p). 12&deg;",Corvey; CME 3-628-47150-8; ECB 160; EN2 1829: 21; NSTC 2B57397; OCLC 4630009,"Dedication to William Lytton Bulwer, Esq., dated 8 Nov 1828"
2212,GARSIDE1800-1829,20100817,1829A023,"Disowned, The",Edward George BULWER LYTTON,1829,goth,Male,,"THE DISOWNED. BY THE AUTHOR OF ""PELHAM."" IN FOUR VOLUMES","London:                     Henry Colburn, New Burlington Street, 1829","4 vols (I xlix, 384p; II 341p; III 273p; IV 354p). 12&deg;",Corvey; CME 3-628-47166-4; ECB 84; EN2 1829: 22; NSTC 2B57399; OCLC 7434235,
2550,GARSIDE1830-1836,20110421,1833:013,,"[BULWER LYTTON, Edward George]",1833,goth,Male,,GODOLPHIN. A NOVEL. IN THREE VOLUMES.,,,,"Trans. of <i>Peter Schlemihls wundersame Geschichte</i> (N&uuml;rnberg, 1814), ed. by Friedrich de la Motte FouquÃ_Â©"
1694,GARSIDE1800-1829,20100817,1823A022,Peter Schlemihl,Adelbert von CHAMISSO,1823,goth,Male,Sir John BOWRING,PETER SCHLEMIHL: FROM THE GERMAN OF LAMOTTE FOUQU&#201;. WITH PLATES BY GEORGE CRUICKSHANK,"London:                     G. and W. B. Whittaker, Ave-Maria Lane, 1823","1 vol.  (xii, 165p, ill.). 12&deg;",MH HEW.3.9.6; ECB 213; EN2 1823: 26; NSTC 2C14268; OCLC 3689706,"Trans. of <i>Wolf</i> in: <i>Sagen der Vorzeit</i>, vol. 2 (Berlin, 1788). Verso of vol. 2, p. 173 [Notice] stating: 'The whole of the Works of Weber, that have not yet appeared in English, are now translating from the original German, by J. Powell, and will shortly be published.'"
516,GARSIDE1800-1829,20100817,1806A069,Wolf,Georg Philipp Ludwig Leonhard W&#196;CHTER,1806,goth,Male,James POWELL,"WOLF; OR, THE TRIBUNAL OF BLOOD: A ROMANCE, FROM THE ORIGINAL GERMAN OF VEIT WEBER, AUTHOR OF THE SORCERER, BLACK VALLEY, &C. BY J. POWELL, TRANSLATOR OF ""THE VILLAGE OF FRIEDEWALDE,"" &C. &C. IN TWO VOLUMES","London:                     Printed for J. F. Hughes, 5, Wigmore-Street, Cavendish-Square, by R. Wilks, 89, Chancery-Lane, 1806",2 vols (I 193p; II 173p). 12&deg;,BL 12548.bb.41; EN2 1806: 67; NSTC W1007; xOCLC,"Originally published Philadelphia 1826 (Blanck, OCLC)"
1973,GARSIDE1800-1829,20100817,1826A024,"Last of the Mohicans, The",James Fenimore COOPER,1826,goth,Male,,"THE LAST OF THE MOHICANS; A NARRATIVE OF 1757. BY THE AUTHOR OF ""THE SPY,"" ""THE PILOT,"" ""THE PIONEERS,"" &C. &C. IN THREE VOLUMES","London:                     John Miller, New Bridge Street, 1826","3 vols (I xi, 287p; II 276p; III 295p). 12&deg;",Corvey; ECB 134; EN2 1826: 25; NSTC 2C36830; OCLC 1538248,
2312,GARSIDE1830-1836,20110421,1830:040,The Water Witch,"COOPER, James Fenimore",1830,goth,Male,,"THE WATER WITCH; OR, THE SKIMMER OF THE SEAS. A TALE. BY THE AUTHOR OF """"THE BORDERERS,"""" """"THE PRAIRIE,"""" &C.; &C.; IN THREE VOLUMES.",,,,"Dedication 'to Her Royal Highness, The Princess Mary', dated Nov 1810. Novel dated Jan 1811 at end of vol. 3. ECB lists under Randolph (A. J.)"
898,GARSIDE1800-1829,20100817,1811A029,"Mysterious Hand, The",Augustus Jacob CRANDOLPH,1811,goth,Male,,"THE MYSTERIOUS HAND; OR, SUBTERRANEAN HORROURS! A ROMANCE. IN THREE VOLUMES. BY AUGUSTUS JACOB CRANDOLPH","London:                     Printed at the Minerva-Press, for A. K. Newman and Co. (Successors to Lane, Newman, & Co.) Leadenhall-Street, 1811","3 vols (I ii, 218p; II 217p; III 254p). 12&deg;",Corvey; CME 3-628-47350-0; ECB 479; EN2 1811: 28; NSTC C4094; xOCLC,"Dedication 'to Miss Edgeworth, of Edgeworth's Town, Ireland'. Vol. 2, pp. [245]&ndash;247 contains 'Topographical Index'"
2220,GARSIDE1800-1829,20100817,1829A031,Legends of the Lakes,Thomas Crofton CROKER,1829,goth,Male,,"LEGENDS OF THE LAKES; OR, SAYINGS AND DOINGS AT KILLARNEY. COLLECTED CHIEFLY FROM THE MANUSCRIPTS OF R. ADOLPHUS LYNCH, ESQ. H.P. KING'S GERMAN LEGION. BY T. CROFTON CROKER","London:                     John Ebers and Co. Old Bond Street, 1829","2 vols (I viii, 245p, ill., map, music; II vi, 247p, ill., music). 8&deg;",Corvey; CME 3-628-51008-2; ECB 144; EN2 1829: 29; NSTC 2C43658; OCLC 1922680,"Preface notes that 'all these stories, with the exception of the first, appeared at different periods in the London Magazine'"
1614,GARSIDE1800-1829,20100817,1822A024,Traditional Tales of the English and Scottish Peasantry,Allan CUNNINGHAM,1822,goth,Male,,"TRADITIONAL TALES OF THE ENGLISH AND SCOTTISH PEASANTRY. BY ALLAN CUNNINGHAM, AUTHOR OF SIR MARMADUKE MAXWELL, A DRAMATIC POEM; &C. IN TWO VOLUMES","London:                     Printed for Taylor and Hessey, Fleet-Street, 1822","2 vols (I x, 322p; II 357p). 12&deg;",Corvey; CME 3-628-51010-4; ECB 147; EN2 1822: 25; NSTC 2C46750; OCLC 4773663,
1975,GARSIDE1800-1829,20100817,1826A026,Paul Jones,Allan CUNNINGHAM,1826,goth,Male,,"PAUL JONES; A ROMANCE. BY ALLAN CUNNINGHAM, AUTHOR OF ""SIR MARMADUKE MAXWELL,"" ""TRADITIONAL TALES,"" &C. IN THREE VOLUMES","Edinburgh:                     Published by Oliver & Boyd ; Longman, Rees, Orme, Brown & Green, London, 1826",3 vols (I 380p; II 372p; III 371p). 8&deg;,Corvey; CME 3-628-47362-4; ECB 147; EN2 1826: 27; NSTC 2C46742; OCLC 10378564,
2140,GARSIDE1800-1829,20100817,1828A034,Sir Michael Scott,Allan CUNNINGHAM,1828,goth,Male,,"SIR MICHAEL SCOTT, A ROMANCE, BY ALLAN CUNNINGHAM. IN THREE VOLUMES","London:                     Henry Colburn, New Burlington-Street, 1828","3 vols (I viii, 296p; II 307p; III 307p). 12&deg;",Corvey; CME 3-628-47363-2; ECB 147; EN2 1828: 35; NSTC 2C46747; xOCLC,"Last 25 pp. of vol. 5 contain 'Key to Vivian Grey', with the  imprint 'London: Printed for William Marsh, 137, Oxford Street, 1827'"
1978,GARSIDE1800-1829,20100817,1826A029,Vivian Grey,"Benjamin, Earl of Beaconsfield DISRAELI",1826,goth,Male,,VIVIAN GREY,"London:                     Henry Colburn, New Burlington Street, 1826/27","5 vols (I (1826) 266p; II (1826) 236p; III (1827) 333p; IV (1827) 362p; V (1827) 324p, 25). 12&deg;",Corvey; CME 3-628-48807-9; ECB 165; EN2 1826: 30; NSTC 2D14247; OCLC 7265564,"Dedication 'to Robert Ward, Esq., &c. &c. &c. of Chesham Woburn Hall, in the County of Bucks'"
2145,GARSIDE1800-1829,20100817,1828A039,"Voyage of Captain Popanilla, The","Benjamin, Earl of Beaconsfield DISRAELI",1828,goth,Male,,"THE VOYAGE OF CAPTAIN POPANILLA. BY THE AUTHOR OF ""VIVIAN GREY.""","London:                     Henry Colburn, New Burlington Street, 1828","1 vol.  (viii, 243p). 12&deg;",Corvey; CME 3-628-48810-9; ECB 617; EN2 1828: 40; NSTC 2D14249; OCLC 2765477,
2404,GARSIDE1830-1836,20110421,1831:024,THE YOUNG DUKE,"[DISRAELI, Benjamin, Earl of Beaconsfield]",1831,goth,Male,,"THE YOUNG DUKE. BY THE AUTHOR OF ""VIVIAN GREY."" IN THREE VOLUMES.","London: Henry Colburn and Richard Bentley, New Burlington Street, 1831.",,,
2558,GARSIDE1830-1836,20110421,1833:021,ALROY,"[DISRAELI, Benjamin, Earl of Beaconsfield]",1833,goth,Male,,"THE WONDROUS TALE OF ALROY. THE RISE OF ISKANDER. BY THE AUTHOR OF ""VIVIAN GREY,"" ""CONTARINI FLEMING,"" &C.; IN THREE VOLUMES.","London: Saunders and Otley, Conduit Street, 1833.",,,
3011,RIDDELL_ADDITIONS,20111110,RIDDELL3,VENETIA,"[DISRAELI, Benjamin, Earl of Beaconsfield]",1837,goth,Male,,VENETIA. BY THE AUTHOR OF Ã_Ã_Ã¬VIVIAN GREYÃ_Ã_Âù AND Ã_Ã_Ã¬HENRIETTA TEMPLE.Ã_Ã_Âù IN THREE VOLUMES.,"London: Henry Colburn, Publisher, 13, Great Marlborough Street. 1837.",,,"Trans. of <i>Undine</i> (Berlin, 1811). Dedication to 'Edward Knight, Esq. of the Theatre Royal, Drury Lane'. 'Advertisement' begins: 'It may be right to observe, that in translating this work, I have taken neither few nor trifling liberties with the original'. ECB gives co-publisher as Bell & B[radfute], Edinburgh, but no copy discovered with this imprint"
1340,GARSIDE1800-1829,20100817,1818A030,Undine,"Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;",1818,goth,Male,George SOANE,"UNDINE, A ROMANCE. TRANSLATED FROM THE GERMAN. BY GEORGE SOANE, A.B","London:                     Printed for W. Simpkin, and R. Marshall, Stationer's Court, Ludgate Street, 1818",1 vol.  (205p). 12&deg;,BL 12548.dd.4; ECB 213; EN2 1818: 30; NSTC 2L2885; OCLC 6875258,"Trans. of <i>Sintram und seine Gef&auml;hrten</i> (Vienna, 1815)"
